mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4.628756920496623,0.16793506115223528,0.11682685216267903,0.004369733091514354,0.9,31,500,50,5,0.02,0.9,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.02, 'colsample_bytree': 0.9}",0.36294709373383827,0.5387132289383515,0.4746420135146596,0.4587674453956165,0.07262889693920004,37,0.6385172973448818,0.5820436456110318,0.6388050909750692,0.6197886779769943,0.02669002694545985
3.907136917114258,0.6434381649048911,0.08156164487202962,0.013121450654788308,0.9,31,400,50,5,0.05,0.7,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 50, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.4080445756930132,0.5644155364673658,0.4915582882941538,0.4880061334848443,0.06388757154155258,27,0.6839334112695009,0.627321937906677,0.6849364447203768,0.665397264632185,0.026926435560201512
1.4208617210388184,0.6128864933492556,0.025664885838826496,0.007845669397195588,0.8,31,100,20,6,0.05,1.0,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.3805900977175898,0.5470961128978716,0.4715938938457035,0.46642670148705495,0.068073921489596,35,0.6670110988322033,0.6042914230915115,0.6492879448179656,0.6401968222472268,0.02639982087630556
4.3619325160980225,0.3862219373717307,0.07174539566040039,0.0009313327553510523,1.0,31,400,20,5,0.1,0.7,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 400, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.42637729912591915,0.5867645075765505,0.517246510258667,0.5101294389870455,0.06567091535964545,25,0.753002549201875,0.7136914908329968,0.7691171857538062,0.745270408596226,0.023278622713021554
9.691509485244751,0.40799394786772347,0.15834999084472656,0.06626395272093281,0.9,50,500,30,10,0.02,0.8,"{'subsample': 0.9, 'num_leaves': 50, 'n_estimators': 500, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.02, 'colsample_bytree': 0.8}",0.4817747142821053,0.6575069244281664,0.5930668312884116,0.5774494899995611,0.07258731951888095,4,0.7985044231728357,0.7801056862741655,0.7945710079809307,0.7910603724759774,0.007910828068881322
8.07836906115214,0.9192890135081291,0.19765663146972656,0.05691295436066046,0.7,70,500,50,7,0.05,0.6,"{'subsample': 0.7, 'num_leaves': 70, 'n_estimators': 500, 'min_child_samples': 50, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.44251546419289767,0.6355245907162106,0.5509707167617564,0.5430035905569549,0.07899678075843967,15,0.7901049818695403,0.7625353854846522,0.7976914420897787,0.7834439364813237,0.01510550061519812
3.7080140113830566,1.0720126735512885,0.08556365966796875,0.008073837222071062,0.6,20,500,30,6,0.02,0.8,"{'subsample': 0.6, 'num_leaves': 20, 'n_estimators': 500, 'min_child_samples': 30, 'max_depth': 6, 'learning_rate': 0.02, 'colsample_bytree': 0.8}",0.3864189123424484,0.561095258681819,0.49925007411637023,0.4822547483802125,0.07231683674533206,31,0.6727240550469717,0.6156940086829548,0.6629574358057395,0.650458499845222,0.024903468261526947
2.95314359664917,0.3312372715606949,0.06397438049316406,0.014607205538072408,1.0,50,200,30,5,0.05,0.9,"{'subsample': 1.0, 'num_leaves': 50, 'n_estimators': 200, 'min_child_samples': 30, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.3591923914399312,0.5339662727543661,0.4781952957178195,0.4571179866373723,0.07289109280738662,38,0.6468850733676477,0.5862113402992117,0.6489673384878185,0.6273545840515593,0.029105083597846908
9.199633439381918,0.12482898414396931,0.07890017827351888,0.010937715253230479,0.9,70,300,10,8,0.01,0.8,"{'subsample': 0.9, 'num_leaves': 70, 'n_estimators': 300, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.4615291476521194,0.5984089538055204,0.5233819410832112,0.527773347513617,0.05596715507614513,22,0.7302002131720419,0.6796019899014814,0.7082681699646449,0.7060234576793895,0.020717530410533265
2.973160743713379,0.051375038890166404,0.05061149597167969,0.0023656383372930695,0.8,20,300,20,10,0.05,0.7,"{'subsample': 0.8, 'num_leaves': 20, 'n_estimators': 300, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.4433222150141367,0.620061287977604,0.5593989551787945,0.540927486056845,0.07332608156556028,16,0.7477148926702499,0.7370355959895476,0.7420356829277563,0.7422620571958513,0.004362742133151016
0.8136202494303385,0.047742052854494184,0.029174407323201496,0.005766180277196635,0.7,20,100,30,8,0.1,1.0,"{'subsample': 0.7, 'num_leaves': 20, 'n_estimators': 100, 'min_child_samples': 30, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.42641553397255394,0.6002742421775787,0.5382409979356471,0.5216435913619266,0.07194126323332586,24,0.7073103338129865,0.6928224805283952,0.6980672046803014,0.6994000063405611,0.005989253898895556
